1.000000,1929.000000,0.000000
2.000000,8096.128264,-24.966349
3.000000,8149.746695,-51.147306
4.000000,8248.552683,-79.425648
5.000000,8394.532062,-102.848916
6.000000,8585.749415,-126.287943
7.000000,8826.404280,-165.442333
8.000000,9139.735155,-196.178225
9.000000,9523.644928,-235.935744
10.000000,10008.251907,-274.115830
11.000000,10606.181251,-328.246466
12.000000,11350.865970,-385.215468
13.000000,12297.834902,-451.076467
14.000000,13528.552370,-543.640931
15.000000,15162.793301,-650.880613
16.000000,17428.529104,-802.262207
17.000000,20735.574301,-1018.809568
18.000000,25984.456651,-1357.643369
19.000000,35518.927273,-1964.223521
20.000000,58015.844245,-3389.240384
21.000000,174479.845834,-10723.131572
22.000000,-157193.591320,10142.751804
23.000000,-52516.177692,3551.288350
24.000000,-30951.458385,2186.207887
25.000000,-21663.711879,1596.957528
26.000000,-16502.485959,1266.103589
27.000000,-13223.582791,1054.374295
28.000000,-10963.773041,907.006215
29.000000,-9309.244478,803.109447
30.000000,-8054.490330,714.297311
31.000000,-7065.056513,651.659423
32.000000,-6267.968346,598.464392
33.000000,-5618.060773,548.725718
34.000000,-5078.703138,515.717438
35.000000,-4616.303016,480.830238
36.000000,-4224.929881,456.236760
37.000000,-3879.392507,422.479693
38.000000,-3580.736109,405.391395
39.000000,-3321.564618,390.058331
40.000000,-3090.163520,370.407857
41.000000,-2879.409578,353.019206
42.000000,-2698.757181,339.002577
43.000000,-2529.035952,325.317292
44.000000,-2384.026005,312.950433
45.000000,-2249.179631,299.480205
46.000000,-2122.294655,292.382852
47.000000,-2008.752677,288.561447
48.000000,-1912.072201,272.498391
49.000000,-1813.607327,266.839104
50.000000,-1728.553600,257.271642
51.000000,-1641.532152,253.819693
52.000000,-1564.680117,241.822658
53.000000,-1496.821332,236.347965
54.000000,-1433.230787,234.684069
55.000000,-1371.746586,223.156379
56.000000,-1316.740145,222.617436
57.000000,-1262.028661,216.997982
58.000000,-1213.888250,212.061818
59.000000,-1168.873392,206.754672
60.000000,-1127.115105,203.290015
61.000000,-1093.990349,197.759516
62.000000,-1099.159780,201.787890
63.000000,-950.064926,181.531320
64.000000,-945.658656,184.099388
65.000000,-919.866044,179.253764
66.000000,-892.394498,177.023367
67.000000,-864.908728,173.158574
68.000000,-837.342345,169.533175
69.000000,-814.002975,166.510220
70.000000,-786.299823,168.075812
71.000000,-765.848182,160.399810
72.000000,-740.730393,161.012957
73.000000,-716.256801,159.129901
74.000000,-698.277692,152.038974
75.000000,-682.927243,155.124069
76.000000,-662.607178,150.358871
77.000000,-647.029468,152.330894
78.000000,-626.324972,140.584886
79.000000,-607.624202,142.674492
80.000000,-593.210612,145.228581
81.000000,-578.166460,141.398892
82.000000,-558.746795,137.330483
83.000000,-548.131225,136.268341
84.000000,-530.665941,133.427763
85.000000,-522.356829,131.948051
86.000000,-511.503541,127.879445
87.000000,-496.138889,128.763447
88.000000,-483.206395,133.038825
89.000000,-480.100934,125.401656
90.000000,-466.334330,126.010335
91.000000,-459.431012,123.081691
92.000000,-443.571567,124.842942
93.000000,-432.994101,118.161866
